file_id,species,processed_path,spectrogram_path,preview_path,duration_sec,sample_rate
59-Eastern-Spadefoot-call,eastern_spadefoot_toad,data\processed\eastern_spadefoot_toad\59-Eastern-Spadefoot-call.wav,data\spectrograms\eastern_spadefoot_toad\59-Eastern-Spadefoot-call.npy,data\spectrograms\preview\eastern_spadefoot_toad\59-Eastern-Spadefoot-call.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-88,green_tree_frog,data\processed\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-88.wav,data\spectrograms\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-88.npy,data\spectrograms\preview\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-88.png,10.0,22050
ML207993,eastern_spadefoot_toad,data\processed\eastern_spadefoot_toad\ML207993.wav,data\spectrograms\eastern_spadefoot_toad\ML207993.npy,data\spectrograms\preview\eastern_spadefoot_toad\ML207993.png,10.0,22050
ML207045,fowlers_toad,data\processed\fowlers_toad\ML207045.wav,data\spectrograms\fowlers_toad\ML207045.npy,data\spectrograms\preview\fowlers_toad\ML207045.png,10.0,22050
ML183831,green_tree_frog,data\processed\green_tree_frog\ML183831.wav,data\spectrograms\green_tree_frog\ML183831.npy,data\spectrograms\preview\green_tree_frog\ML183831.png,10.0,22050
ML506566011,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML506566011.wav,data\spectrograms\copes_gray_treefrog\ML506566011.npy,data\spectrograms\preview\copes_gray_treefrog\ML506566011.png,10.0,22050
ML207883,northern_cricket_frog,data\processed\northern_cricket_frog\ML207883.wav,data\spectrograms\northern_cricket_frog\ML207883.npy,data\spectrograms\preview\northern_cricket_frog\ML207883.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-80,spring_peeper,data\processed\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-80.wav,data\spectrograms\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-80.npy,data\spectrograms\preview\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-80.png,10.0,22050
ML56763,american_bullfrog,data\processed\american_bullfrog\ML56763.wav,data\spectrograms\american_bullfrog\ML56763.npy,data\spectrograms\preview\american_bullfrog\ML56763.png,10.0,22050
ML635712911,american_toad,data\processed\american_toad\ML635712911.wav,data\spectrograms\american_toad\ML635712911.npy,data\spectrograms\preview\american_toad\ML635712911.png,10.0,22050
ML207927,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML207927.wav,data\spectrograms\copes_gray_treefrog\ML207927.npy,data\spectrograms\preview\copes_gray_treefrog\ML207927.png,10.0,22050
ML207892,northern_cricket_frog,data\processed\northern_cricket_frog\ML207892.wav,data\spectrograms\northern_cricket_frog\ML207892.npy,data\spectrograms\preview\northern_cricket_frog\ML207892.png,10.0,22050
ML198480,northern_cricket_frog,data\processed\northern_cricket_frog\ML198480.wav,data\spectrograms\northern_cricket_frog\ML198480.npy,data\spectrograms\preview\northern_cricket_frog\ML198480.png,10.0,22050
ML222905,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML222905.wav,data\spectrograms\copes_gray_treefrog\ML222905.npy,data\spectrograms\preview\copes_gray_treefrog\ML222905.png,10.0,22050
XC896068_-_American_Toad_-_Anaxyrus_americanus,american_toad,data\processed\american_toad\XC896068_-_American_Toad_-_Anaxyrus_americanus.wav,data\spectrograms\american_toad\XC896068_-_American_Toad_-_Anaxyrus_americanus.npy,data\spectrograms\preview\american_toad\XC896068_-_American_Toad_-_Anaxyrus_americanus.png,10.0,22050
ML197585,northern_cricket_frog,data\processed\northern_cricket_frog\ML197585.wav,data\spectrograms\northern_cricket_frog\ML197585.npy,data\spectrograms\preview\northern_cricket_frog\ML197585.png,10.0,22050
ML207884,northern_cricket_frog,data\processed\northern_cricket_frog\ML207884.wav,data\spectrograms\northern_cricket_frog\ML207884.npy,data\spectrograms\preview\northern_cricket_frog\ML207884.png,10.0,22050
mixkit-jungle-rain-and-birds-2392,not_frogs,data\processed\not_frogs\mixkit-jungle-rain-and-birds-2392.wav,data\spectrograms\not_frogs\mixkit-jungle-rain-and-birds-2392.npy,data\spectrograms\preview\not_frogs\mixkit-jungle-rain-and-birds-2392.png,10.0,22050
ML207934,green_tree_frog,data\processed\green_tree_frog\ML207934.wav,data\spectrograms\green_tree_frog\ML207934.npy,data\spectrograms\preview\green_tree_frog\ML207934.png,10.0,22050
XC1020098_-_American_Toad_-_Anaxyrus_americanus,american_toad,data\processed\american_toad\XC1020098_-_American_Toad_-_Anaxyrus_americanus.wav,data\spectrograms\american_toad\XC1020098_-_American_Toad_-_Anaxyrus_americanus.npy,data\spectrograms\preview\american_toad\XC1020098_-_American_Toad_-_Anaxyrus_americanus.png,10.0,22050
ML636468579,green_frog,data\processed\green_frog\ML636468579.wav,data\spectrograms\green_frog\ML636468579.npy,data\spectrograms\preview\green_frog\ML636468579.png,10.0,22050
ML506565541,fowlers_toad,data\processed\fowlers_toad\ML506565541.wav,data\spectrograms\fowlers_toad\ML506565541.npy,data\spectrograms\preview\fowlers_toad\ML506565541.png,10.0,22050
ML202391,american_toad,data\processed\american_toad\ML202391.wav,data\spectrograms\american_toad\ML202391.npy,data\spectrograms\preview\american_toad\ML202391.png,10.0,22050
ML53169,american_toad,data\processed\american_toad\ML53169.wav,data\spectrograms\american_toad\ML53169.npy,data\spectrograms\preview\american_toad\ML53169.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-79,northern_cricket_frog,data\processed\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-79.wav,data\spectrograms\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-79.npy,data\spectrograms\preview\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-79.png,10.0,22050
ML183881,green_tree_frog,data\processed\green_tree_frog\ML183881.wav,data\spectrograms\green_tree_frog\ML183881.npy,data\spectrograms\preview\green_tree_frog\ML183881.png,10.0,22050
ML183669,green_tree_frog,data\processed\green_tree_frog\ML183669.wav,data\spectrograms\green_tree_frog\ML183669.npy,data\spectrograms\preview\green_tree_frog\ML183669.png,10.0,22050
ML184388,fowlers_toad,data\processed\fowlers_toad\ML184388.wav,data\spectrograms\fowlers_toad\ML184388.npy,data\spectrograms\preview\fowlers_toad\ML184388.png,10.0,22050
ML199793,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199793.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199793.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199793.png,10.0,22050
Bullfrog_calling,american_bullfrog,data\processed\american_bullfrog\Bullfrog_calling.wav,data\spectrograms\american_bullfrog\Bullfrog_calling.npy,data\spectrograms\preview\american_bullfrog\Bullfrog_calling.png,10.0,22050
ML222915,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML222915.wav,data\spectrograms\copes_gray_treefrog\ML222915.npy,data\spectrograms\preview\copes_gray_treefrog\ML222915.png,10.0,22050
ML198451,northern_cricket_frog,data\processed\northern_cricket_frog\ML198451.wav,data\spectrograms\northern_cricket_frog\ML198451.npy,data\spectrograms\preview\northern_cricket_frog\ML198451.png,10.0,22050
ML634942422-_2025-10-21T224450.980,pickerel_frog,data\processed\pickerel_frog\ML634942422-_2025-10-21T224450.980.wav,data\spectrograms\pickerel_frog\ML634942422-_2025-10-21T224450.980.npy,data\spectrograms\preview\pickerel_frog\ML634942422-_2025-10-21T224450.980.png,10.0,22050
ML207984,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML207984.wav,data\spectrograms\copes_gray_treefrog\ML207984.npy,data\spectrograms\preview\copes_gray_treefrog\ML207984.png,10.0,22050
ML199722,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199722.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199722.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199722.png,10.0,22050
ML209182,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML209182.wav,data\spectrograms\copes_gray_treefrog\ML209182.npy,data\spectrograms\preview\copes_gray_treefrog\ML209182.png,10.0,22050
ML639264790,green_frog,data\processed\green_frog\ML639264790.wav,data\spectrograms\green_frog\ML639264790.npy,data\spectrograms\preview\green_frog\ML639264790.png,10.0,22050
ML639778415,green_frog,data\processed\green_frog\ML639778415.wav,data\spectrograms\green_frog\ML639778415.npy,data\spectrograms\preview\green_frog\ML639778415.png,10.0,22050
ML183876,green_tree_frog,data\processed\green_tree_frog\ML183876.wav,data\spectrograms\green_tree_frog\ML183876.npy,data\spectrograms\preview\green_tree_frog\ML183876.png,10.0,22050
XC891068_-_Pickerel_Frog_-_Lithobates_palustris,pickerel_frog,data\processed\pickerel_frog\XC891068_-_Pickerel_Frog_-_Lithobates_palustris.wav,data\spectrograms\pickerel_frog\XC891068_-_Pickerel_Frog_-_Lithobates_palustris.npy,data\spectrograms\preview\pickerel_frog\XC891068_-_Pickerel_Frog_-_Lithobates_palustris.png,10.0,22050
ML202341,green_frog,data\processed\green_frog\ML202341.wav,data\spectrograms\green_frog\ML202341.npy,data\spectrograms\preview\green_frog\ML202341.png,10.0,22050
XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana,american_bullfrog,data\processed\american_bullfrog\XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana.wav,data\spectrograms\american_bullfrog\XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana.npy,data\spectrograms\preview\american_bullfrog\XC899237_-_American_Bullfrog_-_Aquarana_catesbeiana.png,10.0,22050
ML637330865,american_bullfrog,data\processed\american_bullfrog\ML637330865.wav,data\spectrograms\american_bullfrog\ML637330865.npy,data\spectrograms\preview\american_bullfrog\ML637330865.png,10.0,22050
Eastern_Spadefoot_Toad_Calling_(Scaphiopus_holbrooki),eastern_spadefoot_toad,data\processed\eastern_spadefoot_toad\Eastern_Spadefoot_Toad_Calling_(Scaphiopus_holbrooki).wav,data\spectrograms\eastern_spadefoot_toad\Eastern_Spadefoot_Toad_Calling_(Scaphiopus_holbrooki).npy,data\spectrograms\preview\eastern_spadefoot_toad\Eastern_Spadefoot_Toad_Calling_(Scaphiopus_holbrooki).png,10.0,22050
XC895188_-_Pickerel_Frog_-_Lithobates_palustris,pickerel_frog,data\processed\pickerel_frog\XC895188_-_Pickerel_Frog_-_Lithobates_palustris.wav,data\spectrograms\pickerel_frog\XC895188_-_Pickerel_Frog_-_Lithobates_palustris.npy,data\spectrograms\preview\pickerel_frog\XC895188_-_Pickerel_Frog_-_Lithobates_palustris.png,10.0,22050
ML38820,american_bullfrog,data\processed\american_bullfrog\ML38820.wav,data\spectrograms\american_bullfrog\ML38820.npy,data\spectrograms\preview\american_bullfrog\ML38820.png,10.0,22050
ML213449,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML213449.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML213449.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML213449.png,10.0,22050
21-Green-Treefrog-call,green_tree_frog,data\processed\green_tree_frog\21-Green-Treefrog-call.wav,data\spectrograms\green_tree_frog\21-Green-Treefrog-call.npy,data\spectrograms\preview\green_tree_frog\21-Green-Treefrog-call.png,10.0,22050
ML635530543,green_tree_frog,data\processed\green_tree_frog\ML635530543.wav,data\spectrograms\green_tree_frog\ML635530543.npy,data\spectrograms\preview\green_tree_frog\ML635530543.png,10.0,22050
ML635625844,spring_peeper,data\processed\spring_peeper\ML635625844.wav,data\spectrograms\spring_peeper\ML635625844.npy,data\spectrograms\preview\spring_peeper\ML635625844.png,10.0,22050
mixkit-little-birds-singing-in-the-trees-17,not_frogs,data\processed\not_frogs\mixkit-little-birds-singing-in-the-trees-17.wav,data\spectrograms\not_frogs\mixkit-little-birds-singing-in-the-trees-17.npy,data\spectrograms\preview\not_frogs\mixkit-little-birds-singing-in-the-trees-17.png,10.0,22050
ML203488,northern_cricket_frog,data\processed\northern_cricket_frog\ML203488.wav,data\spectrograms\northern_cricket_frog\ML203488.npy,data\spectrograms\preview\northern_cricket_frog\ML203488.png,10.0,22050
XC894002_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus,southern_leopard_frog,data\processed\southern_leopard_frog\XC894002_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.wav,data\spectrograms\southern_leopard_frog\XC894002_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.npy,data\spectrograms\preview\southern_leopard_frog\XC894002_-_Southern_Leopard_Frog_-_Lithobates_sphenocephalus.png,10.0,22050
ML183664,green_tree_frog,data\processed\green_tree_frog\ML183664.wav,data\spectrograms\green_tree_frog\ML183664.npy,data\spectrograms\preview\green_tree_frog\ML183664.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-79,pickerel_frog,data\processed\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-79.wav,data\spectrograms\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-79.npy,data\spectrograms\preview\pickerel_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-79.png,10.0,22050
ML222806,southern_leopard_frog,data\processed\southern_leopard_frog\ML222806.wav,data\spectrograms\southern_leopard_frog\ML222806.npy,data\spectrograms\preview\southern_leopard_frog\ML222806.png,10.0,22050
ML183850,green_tree_frog,data\processed\green_tree_frog\ML183850.wav,data\spectrograms\green_tree_frog\ML183850.npy,data\spectrograms\preview\green_tree_frog\ML183850.png,10.0,22050
ML506565501,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML506565501.wav,data\spectrograms\copes_gray_treefrog\ML506565501.npy,data\spectrograms\preview\copes_gray_treefrog\ML506565501.png,10.0,22050
XC895192_-_Pickerel_Frog_-_Lithobates_palustris,pickerel_frog,data\processed\pickerel_frog\XC895192_-_Pickerel_Frog_-_Lithobates_palustris.wav,data\spectrograms\pickerel_frog\XC895192_-_Pickerel_Frog_-_Lithobates_palustris.npy,data\spectrograms\preview\pickerel_frog\XC895192_-_Pickerel_Frog_-_Lithobates_palustris.png,10.0,22050
ML178993,american_toad,data\processed\american_toad\ML178993.wav,data\spectrograms\american_toad\ML178993.npy,data\spectrograms\preview\american_toad\ML178993.png,10.0,22050
55-Fowlers-Toad-call,fowlers_toad,data\processed\fowlers_toad\55-Fowlers-Toad-call.wav,data\spectrograms\fowlers_toad\55-Fowlers-Toad-call.npy,data\spectrograms\preview\fowlers_toad\55-Fowlers-Toad-call.png,10.0,22050
ML202129,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML202129.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML202129.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML202129.png,10.0,22050
ML118799,northern_cricket_frog,data\processed\northern_cricket_frog\ML118799.wav,data\spectrograms\northern_cricket_frog\ML118799.npy,data\spectrograms\preview\northern_cricket_frog\ML118799.png,10.0,22050
ML207878,green_tree_frog,data\processed\green_tree_frog\ML207878.wav,data\spectrograms\green_tree_frog\ML207878.npy,data\spectrograms\preview\green_tree_frog\ML207878.png,10.0,22050
ML208209,american_toad,data\processed\american_toad\ML208209.wav,data\spectrograms\american_toad\ML208209.npy,data\spectrograms\preview\american_toad\ML208209.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-82,american_bullfrog,data\processed\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.wav,data\spectrograms\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.npy,data\spectrograms\preview\american_bullfrog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.png,10.0,22050
ML179014,american_toad,data\processed\american_toad\ML179014.wav,data\spectrograms\american_toad\ML179014.npy,data\spectrograms\preview\american_toad\ML179014.png,10.0,22050
XC895264_-_Spring_Peeper_-_Pseudacris_crucifer,spring_peeper,data\processed\spring_peeper\XC895264_-_Spring_Peeper_-_Pseudacris_crucifer.wav,data\spectrograms\spring_peeper\XC895264_-_Spring_Peeper_-_Pseudacris_crucifer.npy,data\spectrograms\preview\spring_peeper\XC895264_-_Spring_Peeper_-_Pseudacris_crucifer.png,10.0,22050
ML199794,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199794.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199794.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199794.png,10.0,22050
ML638784982,green_frog,data\processed\green_frog\ML638784982.wav,data\spectrograms\green_frog\ML638784982.npy,data\spectrograms\preview\green_frog\ML638784982.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-91,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-91.wav,data\spectrograms\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-91.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-91.png,10.0,22050
ML634877999,spring_peeper,data\processed\spring_peeper\ML634877999.wav,data\spectrograms\spring_peeper\ML634877999.npy,data\spectrograms\preview\spring_peeper\ML634877999.png,10.0,22050
ML537362,american_bullfrog,data\processed\american_bullfrog\ML537362.wav,data\spectrograms\american_bullfrog\ML537362.npy,data\spectrograms\preview\american_bullfrog\ML537362.png,10.0,22050
ML307051,green_frog,data\processed\green_frog\ML307051.wav,data\spectrograms\green_frog\ML307051.npy,data\spectrograms\preview\green_frog\ML307051.png,10.0,22050
ML638961666,green_frog,data\processed\green_frog\ML638961666.wav,data\spectrograms\green_frog\ML638961666.npy,data\spectrograms\preview\green_frog\ML638961666.png,10.0,22050
ML209171_(1),copes_gray_treefrog,data\processed\copes_gray_treefrog\ML209171_(1).wav,data\spectrograms\copes_gray_treefrog\ML209171_(1).npy,data\spectrograms\preview\copes_gray_treefrog\ML209171_(1).png,10.0,22050
ML222927,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML222927.wav,data\spectrograms\copes_gray_treefrog\ML222927.npy,data\spectrograms\preview\copes_gray_treefrog\ML222927.png,10.0,22050
ML179120,american_toad,data\processed\american_toad\ML179120.wav,data\spectrograms\american_toad\ML179120.npy,data\spectrograms\preview\american_toad\ML179120.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-51,american_toad,data\processed\american_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-51.wav,data\spectrograms\american_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-51.npy,data\spectrograms\preview\american_toad\dlg_ggpd_n200-g2-m1-2013-c3-track-51.png,10.0,22050
ML184387,northern_cricket_frog,data\processed\northern_cricket_frog\ML184387.wav,data\spectrograms\northern_cricket_frog\ML184387.npy,data\spectrograms\preview\northern_cricket_frog\ML184387.png,10.0,22050
"Calling_male_Bird-voiced_Treefrog,_Hyla_avivoca",bird_voiced_tree_frog,"data\processed\bird_voiced_tree_frog\Calling_male_Bird-voiced_Treefrog,_Hyla_avivoca.wav","data\spectrograms\bird_voiced_tree_frog\Calling_male_Bird-voiced_Treefrog,_Hyla_avivoca.npy","data\spectrograms\preview\bird_voiced_tree_frog\Calling_male_Bird-voiced_Treefrog,_Hyla_avivoca.png",10.0,22050
ML635792771,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML635792771.wav,data\spectrograms\copes_gray_treefrog\ML635792771.npy,data\spectrograms\preview\copes_gray_treefrog\ML635792771.png,10.0,22050
ML106938-_2025-10-21T221228.549,pickerel_frog,data\processed\pickerel_frog\ML106938-_2025-10-21T221228.549.wav,data\spectrograms\pickerel_frog\ML106938-_2025-10-21T221228.549.npy,data\spectrograms\preview\pickerel_frog\ML106938-_2025-10-21T221228.549.png,10.0,22050
ML37363,northern_cricket_frog,data\processed\northern_cricket_frog\ML37363.wav,data\spectrograms\northern_cricket_frog\ML37363.npy,data\spectrograms\preview\northern_cricket_frog\ML37363.png,10.0,22050
47-northern-cricket-frog-call,northern_cricket_frog,data\processed\northern_cricket_frog\47-northern-cricket-frog-call.wav,data\spectrograms\northern_cricket_frog\47-northern-cricket-frog-call.npy,data\spectrograms\preview\northern_cricket_frog\47-northern-cricket-frog-call.png,10.0,22050
ML634823078,spring_peeper,data\processed\spring_peeper\ML634823078.wav,data\spectrograms\spring_peeper\ML634823078.npy,data\spectrograms\preview\spring_peeper\ML634823078.png,10.0,22050
ML183892,green_tree_frog,data\processed\green_tree_frog\ML183892.wav,data\spectrograms\green_tree_frog\ML183892.npy,data\spectrograms\preview\green_tree_frog\ML183892.png,10.0,22050
ML168994,american_bullfrog,data\processed\american_bullfrog\ML168994.wav,data\spectrograms\american_bullfrog\ML168994.npy,data\spectrograms\preview\american_bullfrog\ML168994.png,10.0,22050
ML207930,northern_cricket_frog,data\processed\northern_cricket_frog\ML207930.wav,data\spectrograms\northern_cricket_frog\ML207930.npy,data\spectrograms\preview\northern_cricket_frog\ML207930.png,10.0,22050
dlg_ggpd_n200-g2-m1-2013-c3-track-92,green_tree_frog,data\processed\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-92.wav,data\spectrograms\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-92.npy,data\spectrograms\preview\green_tree_frog\dlg_ggpd_n200-g2-m1-2013-c3-track-92.png,10.0,22050
ML637601401,green_frog,data\processed\green_frog\ML637601401.wav,data\spectrograms\green_frog\ML637601401.npy,data\spectrograms\preview\green_frog\ML637601401.png,10.0,22050
ML207940,northern_cricket_frog,data\processed\northern_cricket_frog\ML207940.wav,data\spectrograms\northern_cricket_frog\ML207940.npy,data\spectrograms\preview\northern_cricket_frog\ML207940.png,10.0,22050
230144,northern_cricket_frog,data\processed\northern_cricket_frog\230144.wav,data\spectrograms\northern_cricket_frog\230144.npy,data\spectrograms\preview\northern_cricket_frog\230144.png,10.0,22050
ML207982,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML207982.wav,data\spectrograms\copes_gray_treefrog\ML207982.npy,data\spectrograms\preview\copes_gray_treefrog\ML207982.png,10.0,22050
ML639520842,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML639520842.wav,data\spectrograms\copes_gray_treefrog\ML639520842.npy,data\spectrograms\preview\copes_gray_treefrog\ML639520842.png,10.0,22050
dlg_ggpd_n200-g2-m1-2003-c3-track-82,northern_cricket_frog,data\processed\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.wav,data\spectrograms\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.npy,data\spectrograms\preview\northern_cricket_frog\dlg_ggpd_n200-g2-m1-2003-c3-track-82.png,10.0,22050
ML209070,american_toad,data\processed\american_toad\ML209070.wav,data\spectrograms\american_toad\ML209070.npy,data\spectrograms\preview\american_toad\ML209070.png,10.0,22050
ML182054,american_toad,data\processed\american_toad\ML182054.wav,data\spectrograms\american_toad\ML182054.npy,data\spectrograms\preview\american_toad\ML182054.png,10.0,22050
ML209166,american_toad,data\processed\american_toad\ML209166.wav,data\spectrograms\american_toad\ML209166.npy,data\spectrograms\preview\american_toad\ML209166.png,10.0,22050
Calling_green_frog(s),green_frog,data\processed\green_frog\Calling_green_frog(s).wav,data\spectrograms\green_frog\Calling_green_frog(s).npy,data\spectrograms\preview\green_frog\Calling_green_frog(s).png,10.0,22050
ML207981,copes_gray_treefrog,data\processed\copes_gray_treefrog\ML207981.wav,data\spectrograms\copes_gray_treefrog\ML207981.npy,data\spectrograms\preview\copes_gray_treefrog\ML207981.png,10.0,22050
ML179126,american_toad,data\processed\american_toad\ML179126.wav,data\spectrograms\american_toad\ML179126.npy,data\spectrograms\preview\american_toad\ML179126.png,10.0,22050
ML635712903,american_toad,data\processed\american_toad\ML635712903.wav,data\spectrograms\american_toad\ML635712903.npy,data\spectrograms\preview\american_toad\ML635712903.png,10.0,22050
ML223226,american_bullfrog,data\processed\american_bullfrog\ML223226.wav,data\spectrograms\american_bullfrog\ML223226.npy,data\spectrograms\preview\american_bullfrog\ML223226.png,10.0,22050
ML635694508,green_frog,data\processed\green_frog\ML635694508.wav,data\spectrograms\green_frog\ML635694508.npy,data\spectrograms\preview\green_frog\ML635694508.png,10.0,22050
XC883331_-_Eastern_Narrow-mouthed_Toad_-_Gastrophryne_carolinensis,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\XC883331_-_Eastern_Narrow-mouthed_Toad_-_Gastrophryne_carolinensis.wav,data\spectrograms\eastern_narrow_mouthed_toad\XC883331_-_Eastern_Narrow-mouthed_Toad_-_Gastrophryne_carolinensis.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\XC883331_-_Eastern_Narrow-mouthed_Toad_-_Gastrophryne_carolinensis.png,10.0,22050
ML506564161,american_toad,data\processed\american_toad\ML506564161.wav,data\spectrograms\american_toad\ML506564161.npy,data\spectrograms\preview\american_toad\ML506564161.png,10.0,22050
ML207654,american_toad,data\processed\american_toad\ML207654.wav,data\spectrograms\american_toad\ML207654.npy,data\spectrograms\preview\american_toad\ML207654.png,10.0,22050
